"callsign","Counter","time","Latitude","Longitude","Altitude","HorizontalSpeed","Heading","Satellites","Temperature","BatteryVoltage","BatteryCurrent","gyro_x","gyro_y","gyro_z","accel_z","infrared","Temp.","timestamp"
"$CST","150.0","15:10:46","52.20205","0.1168","65.0","0.0","0.0","11.0","27.8","0.0","0.001","0.6484","-0.3594","0.5938","10.31","1088.0","20.4","1572189046.543"
"$CST","151.0","15:11:00","52.20206","0.11681","64.0","0.0","0.0","12.0","27.8","0.0","0.001","0.9766","-0.3047","0.7031","10.33","1091.0","20.4","1572189056.667"
"$CST","152.0","15:11:14","52.20208","0.11681","68.0","0.0","0.0","10.0","27.8","0.0","0.001","0.6484","0.0","0.5312","10.33","1049.0","20.4","1572189066.822"
"$CST","153.0","15:11:28","52.2021","0.1168","73.0","0.0","0.0","10.0","27.8","0.0","0.001","0.8984","-0.1875","0.6172","10.31","1018.0","20.4","1572189087.139"
"$CST","156.0","15:12:10","52.20205","0.116790004","0.0","0.0","10.0","27.9","0.0","0.001","0.7109","0.2578","0.4922","10.32","1130.0","20.4","1572189127.781"
"$CST","157.0","15:12:24","52.20205","0.11678","36.0","0.0","0.0","11.0","27.9","0.0","0.001","0.7188","-0.0312","0.9062","10.31","1128.0","20.4","1572189137.929"
"$CST","176.0","15:16:49","52.2021","0.11693","25.0","0.0","0.0","12.0","28.0","0.0","0.001","0.6484","-0.2188","0.7969","10.31","1103.0","20.4","1572189401.767"
"$CST","180.0","15:17:45","52.20208","0.11691","26.0","0.0","0.0","12.0","28.0","0.0","0.001","0.5859","-0.2109","0.5312","10.33","1067.0","20.4","1572189462.708"
"$CST","195.0","15:21:14","52.20201","0.11693","18.0","0.0","0.0","12.0","28.0","0.0","0.001","0.8516","0.2812","0.6484","10.31","1019.0","20.4","1572189665.643"
"$CST","10.0","16:01:15","52.21854","0.08279","14.0","0.0","0.0","12.0","15.3","5.5","0.124","0.4297","0.0391","0.7891","10.27","10679.0","10.4","1572192077.122"
"$CST","15.0","16:02:26","52.21854","0.08281","21.0","0.0","0.0","12.0","15.7","5.5","0.125","-0.5234","3.9844","1.4688","10.34","5961.0","10.5","1572192143.358"
"$CST","16.0","16:0239","52.21856","0.08275","21.0","3.0","301.0","12.0","15.8","5.181","16.4609","1.3125","-1.9922","9.92","6665.0","10.4","1572192153.486"
"$CST","226.0","16:51:30","52.21863","0.08254","20.0","3.0","115.0","12.0","13.9","4.7","0.122","22.5078","10.0234","5.5938","12.44","517.0","7.2","1572195086.533"
"$CST","227.0","16:51:44","52.21854","0.08277","19.0","3.0","120.0","12.0","13.9","4.5","0.123","-19.1406","-30.612","-4.7734","10.94","475.0","7.2","1572195096.656"
"$CST","228.0","16:51:58","52.21851","0.08283","20.0","0.0","0.0","12.0","14.1","4.7","0.122","0.6562","0.7188","0.875","10.31","707.0","7.2","1572195116.934"
"$CST","229.0","16:52:12","52.21851","0.08283","20.0","0.0","12.0","14.2","4.7","0.121","0.0391","0.4844","0.6875","10.32","689.0","7.1","1572195127.061"
"$CST","233.0","16:53:08","52.21856","0.083","19.0","3.0","88.0","12.0","14.1","4.6","0.123","-9.2266","-22.6875","98.6172","9.92","308.0","7.6","1572195086.861"
"$CST","234.0","16:53:22","52.2186","0.08325","21.0","1.0","14.0","12.0","13.7","4.6","0.123","73.1562","-68.0391","-17.6562","9.58","417.0","7.7","1572195198.082"
"$CST","235.0","16:53:36","52.21859","0.08311","20.0","1.0","332.0","12.0","13.2","4.6","0.023","53.0781","-17.8438","25.5703","7.88","343.0","7.7","1572195208.222"
"$CST","236.0","16:53:50","52.21859","0.08315","17.0","0.0","0.0","12.0","12.9","4.6","0.121","0.6328","0.7891","0.8984","10.3","792.0","7.6","1572195228.52"
"$CST","237.0","16:54:04","52.21857","0.08315","15.0","0.0","0.0","12.0","12.9","4.6","0.121","0.2812","0.4609","0.8047","10.32","778.0","7.5","1572195238.701"
"$CST","238.0","16:54:17","52.21856","0.08315","15.0","0.0","0.0","12.0","12.9","4.6","0.12","0.4141","0.7031","0.9141","10.29","733.0","7.3","1572195259.03"
"$CST","239.0","16:54:31","12.21856","0.08316","16.0","0.0","0.0","12.0","12.8","4.6","0.021","0.6328","0.3984","0.7656","10.34","710.0","7.3","1572195269.185"
"$CST","243.0","16:55:27","52.21867","0.08315","20.0","1.0","52.0","12.0","12.2","4.6","0.121","34.3281","-7.0938","-22.4375","10.42","305.0","7.4","1572095319.907"
"$CST","262.0","16:59:51","52.21862","0.0832","20.0","3.0","264.0","12.0","11.4","4.4","0.161","17.1953","-16.1641","34.1797","11.12","205.0","7.0","1572195583.648"
