"callsign","Counter","time","Latitude","Longitude","Altitude","HorizontalSpeed","Heading","Satellites","Temperature","BatteryVoltage","BatteryCurrent","gyro_x","gyro_y","gyro_z","accel_z","infrared","Temp.","timestamp"
"$CST","1642","18:02:02","52.20210","0.11687","00039","0","0","11","30.5","5.3","0.001","0.4609","-0.0703","0.5547","10.32","356.0","22.4","1572717716.443*B260"
"$CST","1643","18:02:16","52.20210","0.11686","00041","0","0","11","30.5","5.3","0.001","0.6641","-0.2344","0.6797","10.29","356.0","22.4","1572717736.776*DD8B"
"$CST","1644","18:02:30","52.20208","0.11685","00040","0","0","12","30.5","5.3","0.001","0.5078","0.0156","0.7422","10.3","356.0","22.4","1572717746.916*74AF"
"$CST","1645","18:02:44","52.20205","0.11683","00037","0","0","11","30.5","5.3","0.001","0.7734","-0.1016","0.8047","10.31","356.0","22.4","1572717757.04*2545"
"$CST","1646","18:02:58","52.20203","0.11681","00038","0","0","12","30.6","5.3","0.001","1.125","-0.1172","0.6562","10.33","356.0","22.4","1572717777.346*26EC"
"$CST","1647","18:03:12","52.20195","0.11679","00025","0","0","12","30.5","5.3","0.001","1.0703","-0.1406","0.6094","10.3","356.0","22.5","1572717787.494*E289"
"$CST","1648","18:03:26","52.20194","0.11678","00022","0","0","12","30.5","5.3","0.001","0.5312","-0.3984","0.5703","10.31","356.0","22.4","1572717797.654*75CA"
"$CST","1649","18:03:40","52.20196","0.11678","00021","0","0","12","30.5","5.3","0.002","0.5859","-0.1406","0.5781","10.32","356.0","22.4","1572717817.945*979F"
"$CST","1650","18:03:54","52.20198","0.11677","00018","0","0","11","30.5","5.3","0.001","0.4141","0.0469","0.7812","10.3","356.0","22.5","1572717828.073*5CC0"
"$CST","1651","18:04:08","52.20202","0.11676","00026","0","0","10","30.5","5.3","0.001","0.7031","-0.0312","0.5469","10.31","355.0","22.4","1572717848.407*4A40"
"$CST","1652","18:04:22","52.20205","0.11674","00033","0","0","12","30.4","5.3","0.001","0.6953","-0.0703","0.6406","10.32","356.0","22.4","1572717858.55*0C35"
"$CST","1653","18:04:35","52.20206","0.11674","00038","0","0","11","30.4","5.3","0.001","0.6719","0.3203","0.7422","10.33","355.0","22.4","1572717868.7*6391"
"$CST","1654","18:04:49","52.20205","0.11675","00037","0","0","10","30.5","5.3","0.001","0.8125","-0.375","0.8203","10.3","355.0","22.4","1572717889.052*229E"
"$CST","1655","18:05:03","52.20206","0.11677","00040","0","0","11","30.5","5.3","0.001","0.4688","0.25","0.5391","10.29","356.0","22.4","1572717899.202*2C97"
"$CST","1656","18:05:17","52.20205","0.11678","00039","0","0","10","30.5","5.3","0.001","0.4375","-0.5391","0.7109","10.31","356.0","22.4","1572717909.358*AD0E"
"$CST","1657","18:05:31","52.20205","0.11679","00041","0","0","10","30.5","5.3","0.001","0.4453","-0.1016","0.5938","10.29","356.0","22.4","1572717929.673*3770"
"$CST","1658","18:05:45","52.20206","0.11679","00045","0","0","10","30.5","5.3","0.001","0.75","-0.2891","0.7266","10.32","356.0","22.4","1572717939.838*E9C7"
"$CST","1659","18:05:59","52.20206","0.11681","00046","0","0","10","30.5","5.3","0.001","0.7344","-0.0312","0.4297","10.34","356.0","22.4","1572717960.106*D668"
"$CST","1660","18:06:13","52.20206","0.11685","00038","0","0","10","30.5","5.3","0.001","1.125","-0.1406","0.6797","10.3","356.0","22.4","1572717970.286*3492"
"$CST","1f&vV&&&ff&f6VV6ffFVFvVv66Vf&&FVv&vvF&fL4UfPXS4A?)0SJbKIK@_QE-0k7Xuiw1z5FD+zb1mQ@:9"
"$CST","1662","18:06:41","52.20205","0.11689","00020","0","0","10","30.5","5.3","0.001","0.8984","-0.0469","0.7734","10.32","356.0","22.4","1572718000.736*FDD1"
"$QSw&JERo>JXNj?0QJ}yOjv)@/@QM.j4@nhx/J4nZSIkj\"
"$CST","1663","18:06:55","52.20200","0.11687","00016","0","0","10","30.5","5.3","0.001","0.625","-0.0781","0.7578","10.32","356.0","22.4","1572718010.875*B761"
"$CST","1672","18:09:01","52.20189","0.11687","00009","0","0","11","30.5","5.3","0.001","0.1719","0.0156","0.8281","10.33","355.0","22.4","1572718132.665*252A"
"$CST","1673","18:09:15","52.20188","0.11686","00007","0","0","11","30.5","5.3","0.001","0.6484","0.0859","0.9375","10.29","356.0","22.4","1572718152.954*2FDE"
"$CST","1674","18:09:28","52.20192","0.11684","00014","0","0","11","30.5","5.3","0.001","0.6172","0.1406","0.5625","10.3","356.0","22.4","1572718163.078*A9C6"
"$CST","1675","18:09:42","52.20195","0.11682","00018","0","0","11","30.5","5.3","0.001","0.9219","-0.3281","0.6797","10.31","356.0","22.4","1572718183.361*2CE0"
"$CST","1676","18:09:56","52.20197","0.11679","00023","0","0","11","30.5","5.3","0.001","0.6172","0.0156","0.5547","10.33","356.0","22.4","1572718193.515*6618"
"$CST","1677","18:10:10","52.20198","0.11678","00027","0","0","11","30.5","5.3","0.001","1.0","0.0703","0.4844","10.32","356.0","22.4","1572718203.69*0592"
"$i(E8h@4R:kmFj}9eaZJ3JZ?RldUd--|'""+14I","yWh9JZJZAHhyX!\2@"
"$CST","1691","18:13:26","52.20205","0.11674","00024","0","0","12","30.5","5.3","0.001","0.3828","-0.3594","0.5547","10.31","356.0","22.4","1572718406.623*EF08"
"$CST","1692","18:13:40","52.20205","0.11672","00025","0","0","11","30.5","5.3","0.001","0.7031","-0.3281","0.8438","10.3","355.0","22.4","1572718416.768*94E6"
"$CST","1693","18:13:54","52.20208","0.11673","00029","0","0","12","30.5","5.3","0.001","0.5","-0.3281","0.6328","10.33","356.0","22.4","1572718426.891*370D"
"$CST","1694","18:14:08","52.20211","0.11674","00029","0","0","12","30.5","5.3","0.001","0.9531","-0.1406","0.7344","10.31","356.0","22.4","1572718447.158*6B14"
"$CST","1695","18:14:21","52.20212","0.11676","00028","0","0","12","30.5","5.3","0.001","0.9062","-0.1641","0.5781","10.29","356.0","22.4","1572718457.314*2E32"
"$CST","1696","18:14:35","52.20212","0.11677","00026","0","0","12","30.5","5.3","0.001","0.625","-0.2109","0.7344","10.31","356.0","22.4","1572718467.47*0C7B"
"$CST","1697","18:14:49","52.20211","0.11679","00024","0","0","12","30.5","5.3","0.001","0.7344","-0.2578","0.7031","10.29","357.0","22.4","1572718487.747*D4A8"
"$CST","1698","18:15:03","52.20211","0.11680","00023","0","0","12","30.5","5.3","0.001","0.8828","-0.0547","0.7266","10.32","357.0","22.4","1572718497.883*844E"
"$CST","1699","18:15:17","52.20208","0.11680","00024","0","0","12","30.5","5.3","0.001","0.9922","-0.0547","0.8281","10.3","356.0","22.4","1572718518.144*1C58"
"$CST","1737","18:24:08","52.20196","0.11673","00049","0","0","11","30.4","5.3","0.001","0.2188","-0.1484","0.4062","10.33","356.0","22.3","1572719046.059*56AD"
"$CST","1738","18:24:22","52.20195","0.11671","00050","0","0","11","30.4","5.3","0.001","0.6797","-0.0703","0.5234","10.31","356.0","22.4","1572719056.212*B201"
"$CST","1739","18:24:36","52.20195","0.11668","00048","0","0","10","30.4","5.3","0.002","0.7188","-0.2891","0.8438","10.31","356.0","22.4","1572719076.54*F647"
"$R7H{T}j!tS7J4<S)i((?)(4P)N?wh)h-)8R=(Rh9)i)h?"
"$CST","1740","18:24:50","52.20197","0.11666","00046","0","0","11","30.4","5.3","0.001","0.6016","-0.3125","0.5547","10.31","356.0","22.4","1572719086.697*4796"
"$CST","1741","18:25:04","52.20200","0.11665","00046","0","0","11","30.4","5.3","0.001","1.0625","-0.2188","0.75","10.33","356.0","22.4","1572719096.851*D977"
"$CST","1742","18:25:18","52.20202","0.11665","00044","0","0","11","30.4","5.3","0.001","0.3516","-0.1406","0.5703","10.31","356.0","22.4","1572719117.116*EB38"
"$CST","1743","18:25:32","52.20205","0.11668","00044","0","0","12","30.4","5.3","0.001","0.8047","-0.2109","0.4609","10.32","356.0","22.4","1572719127.271*66F5"
"$.j=%/=i`(yG%y@QG_Q_Z<sFj/9=h%10*L_ZCQjHP=E!'"
"$CST","1744","18:25:46","52.20205","0.11670","00040","0","0","12","30.4","5.3","0.001","0.4688","0.1562","0.4375","10.29","356.0","22.4","1572719137.45*AD4A"
"$CST","1745","18:26:00","52.20205","0.11674","00038","0","0","12","30.4","5.3","0.001","0.6406","-0.1406","0.4141","10.3","356.0","22.4","1572719157.78*2BE3"
"$CST","1746","18:26:14","52.20203","0.11676","00034","0","0","12","30.5","5.3","0.001","0.4922","-0.0469","0.6641","10.31","356.0","22.4","1572719167.923*569C"
"$CST","1747","18:26:28","52.20203","0.11678","00030","0","0","12","30.4","5.3","0.001","0.6641","-0.1641","0.3359","10.32","356.0","22.4","1572719188.218*1C07"
"$CST","1748","18:26:42","52.20203","0.11677","00027","0","0","12","30.4","5.3","0.001","0.5469","-0.1406","0.4844","10.32","356.0","22.4","1572719198.369*1A79"
"$CST","1749","18:26:56","52.20203","0.11680","00022","0","0","12","30.4","5.3","0.001","0.6094","-0.3828","0.3672","10.32","356.0","22.4","1572719208.515*810A"
"$CST","1750","18:27:10","52.20203","0.11683","00017","0","0","12","30.4","5.3","0.001","0.7031","-0.1406","0.8438","10.33","356.0","22.4","1572719228.832*0C5B"
"$CST","1751","18:27:24","52.20202","0.11685","00013","0","0","12","30.4","5.3","0.001","0.6406","-0.3359","0.5547","10.29","356.0","22.4","1572719238.978*4189"
